Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,url,is_active,in_hof,career_games,career_win_shares,peak_ws,aba_years,n_chips,nba_asg,leaderboard_points,hof_as_player,hof_pr
Alaa Abdelnaby,1991,1995,F-C,82,240,"June 24, 1968",Duke University,/players/a/abdelal01.html,False,False,256,4.8,2.1404166666666664,0,0,0,0,0,0.0
Zaid Abdul-Aziz,1969,1978,C-F,81,235,"April 7, 1946",Iowa State University,/players/a/abdulza01.html,False,False,505,17.5,6.454875,0,0,0,0,0,0.0
Kareem Abdul-Jabbar,1970,1989,C,86,225,"April 16, 1947","University of California, Los Angeles",/players/a/abdulka01.html,False,True,1560,273.4,25.379583333333333,0,6,19,317,1,1.0
Mahmoud Abdul-Rauf,1991,2001,G,73,162,"March 9, 1969",Louisiana State University,/players/a/abdulma02.html,False,False,586,25.2,6.815104166666667,0,0,0,0,0,0.0
Tariq Abdul-Wahad,1998,2003,F,78,223,"November 3, 1974","University of Michigan, San Jose State University",/players/a/abdulta01.html,False,False,236,3.5,2.2355,0,0,0,0,0,0.0
Shareef Abdur-Rahim,1997,2008,F,81,225,"December 11, 1976",University of California,/players/a/abdursh01.html,False,False,830,71.2,9.7111875,0,0,1,39,0,0.002
Tom Abernethy,1977,1981,F,79,220,"May 6, 1954",Indiana University,/players/a/abernto01.html,False,False,319,13.4,4.115625,0,0,0,0,0,0.0
Forest Able,1957,1957,G,75,180,"July 27, 1932",Western Kentucky University,/players/a/ablefo01.html,False,False,1,0.0,-0.04295833333333333,0,0,0,0,0,0.0
John Abramovic,1947,1948,F,75,195,"February 9, 1919",Salem International University,/players/a/abramjo01.html,False,False,56,-1.9,-0.1,0,0,0,0,0,0.0
Alex Abrines,2017,2019,G-F,78,200,"August 1, 1993",,/players/a/abrinal01.html,True,False,172,5.0,2.2207500000000002,0,0,0,0,0,0.0
Alex Acker,2006,2009,G,77,185,"January 21, 1983",Pepperdine University,/players/a/ackeral01.html,False,False,30,-0.2,-0.04560416666666667,0,0,0,0,0,0.0
Don Ackerman,1954,1954,G,72,183,"September 4, 1930",Long Island University,/players/a/ackerdo01.html,False,False,28,-0.6,-0.56375,0,0,0,0,0,0.0
Mark Acres,1988,1993,F-C,83,220,"November 15, 1962",Oral Roberts University,/players/a/acresma01.html,False,False,375,9.3,2.461875,0,0,0,0,0,0.0
Bud Acton,1968,1968,F,78,210,"January 11, 1942",Hillsdale College,/players/a/actonbu01.html,False,False,23,0.1,0.08531250000000001,0,0,0,0,0,0.0
Quincy Acy,2013,2019,F,79,240,"October 6, 1990",Baylor University,/players/a/acyqu01.html,True,False,337,8.7,2.5002500000000003,0,0,0,0,0,0.0
Alvan Adams,1976,1988,C-F,81,210,"July 19, 1954",University of Oklahoma,/players/a/adamsal01.html,False,False,988,73.5,7.7025,0,0,1,2,0,0.001
Don Adams,1971,1977,F,78,210,"November 27, 1947",Northwestern University,/players/a/adamsdo01.html,False,False,523,11.7,3.6385,2,0,0,0,0,0.0
George Adams,1973,1975,F-G,77,210,"May 15, 1949",Gardner-Webb University,/players/a/adamsge01.html,False,False,215,6.6,,3,0,0,0,0,0.0
Hassan Adams,2007,2009,G,76,220,"June 20, 1984",University of Arizona,/players/a/adamsha01.html,False,False,73,0.8,0.9796874999999999,0,0,0,0,0,0.0
Jaylen Adams,2019,2019,G,74,190,"May 4, 1996",St. Bonaventure University,/players/a/adamsja01.html,True,False,9,0.0,0.03314583333333333,0,0,0,0,0,0.0
Jordan Adams,2015,2016,G,77,209,"July 8, 1994","University of California, Los Angeles",/players/a/adamsjo01.html,True,False,32,0.4,0.37716666666666665,0,0,0,0,0,0.0
Michael Adams,1986,1996,G,70,162,"January 19, 1963",Boston College,/players/a/adamsmi01.html,False,False,653,46.9,8.302937499999999,0,0,1,11,0,0.004
Steven Adams,2014,2019,C,84,265,"July 20, 1993",University of Pittsburgh,/players/a/adamsst01.html,True,False,434,36.1,9.6889375,0,0,0,0,0,0.0
Rafael Addison,1987,1997,F-G,79,215,"July 22, 1964",Syracuse University,/players/a/addisra01.html,False,False,379,4.9,1.5421875,0,0,0,0,0,0.0
Bam Adebayo,2018,2019,C-F,82,255,"July 18, 1997",University of Kentucky,/players/a/adebaba01.html,True,False,116,7.7,4.218,0,0,0,0,0,0.0
Deng Adel,2019,2019,F,79,200,"February 1, 1997",University of Louisville,/players/a/adelde01.html,True,False,4,0.0,0.0005833333333333334,0,0,0,0,0,0.0
Rick Adelman,1969,1975,G,73,175,"June 16, 1946",Loyola Marymount University,/players/a/adelmri01.html,False,False,462,10.0,3.406520833333333,0,0,0,0,0,0.0
Jeff Adrien,2011,2015,F,79,245,"February 10, 1986",University of Connecticut,/players/a/adrieje01.html,False,False,153,4.4,2.6827916666666667,0,0,0,0,0,0.0
Arron Afflalo,2008,2018,G,77,210,"October 15, 1985","University of California, Los Angeles",/players/a/afflaar01.html,True,False,762,33.5,6.197333333333333,0,0,0,0,0,0.0
Maurice Ager,2007,2011,G,77,202,"February 9, 1984",Michigan State University,/players/a/agerma01.html,False,False,82,-0.9,-0.0090625,0,0,0,0,0,0.0
Mark Aguirre,1982,1994,F-G,78,232,"December 10, 1959",DePaul University,/players/a/aguirma01.html,False,False,923,67.8,9.002083333333333,0,2,3,28,0,0.08199999999999999
Blake Ahearn,2008,2012,G,74,190,"May 27, 1984",Missouri State University,/players/a/ahearbl01.html,False,False,19,-0.2,0.058979166666666666,0,0,0,0,0,0.0
Danny Ainge,1982,1995,G,76,175,"March 17, 1959",Brigham Young University,/players/a/aingeda01.html,False,False,1042,71.5,8.551,0,2,1,1,0,0.008
Matthew Aitch,1968,1968,F,79,230,"September 21, 1944",Michigan State University,/players/a/aitchma01.html,False,False,45,0.5,,1,0,0,0,0,0.0
Alexis Ajinca,2009,2017,C,86,248,"May 6, 1988",,/players/a/ajincal01.html,True,False,293,7.5,3.1700625000000002,0,0,0,0,0,0.0
Henry Akin,1967,1969,C-F,82,225,"July 31, 1944",Morehead State University,/players/a/akinhe01.html,False,False,88,-1.2,-0.5557708333333333,1,0,0,0,0,0.0
Josh Akognon,2013,2013,G,71,185,"February 10, 1986","Washington State University, California State University, Fullerton",/players/a/akognjo01.html,False,False,3,0.0,0.03675,0,0,0,0,0,0.0
DeVaughn Akoon-Purcell,2019,2019,G,78,200,"June 5, 1993",Illinois State University,/players/a/akoonde01.html,True,False,7,0.0,-0.022000000000000002,0,0,0,0,0,0.0
Solomon Alabi,2011,2012,C,85,251,"March 21, 1988",Florida State University,/players/a/alabiso01.html,False,False,26,0.0,0.21095833333333336,0,0,0,0,0,0.0
Mark Alarie,1987,1991,F,80,217,"December 11, 1963",Duke University,/players/a/alarima01.html,False,False,325,8.4,3.1155625,0,0,0,0,0,0.0
Gary Alcorn,1960,1961,C,81,225,"October 8, 1936","California State University, Fresno",/players/a/alcorga01.html,False,False,78,-1.3,-0.00725,0,0,0,0,0,0.0
Furkan Aldemir,2015,2015,F-C,82,240,"August 9, 1991",,/players/a/aldemfu01.html,False,False,41,1.4,1.3724999999999998,0,0,0,0,0,0.0
Cole Aldrich,2011,2018,C,83,250,"October 31, 1988",University of Kansas,/players/a/aldrico01.html,True,False,339,9.6,3.483333333333333,0,0,0,0,0,0.0
LaMarcus Aldridge,2007,2019,F-C,83,260,"July 19, 1985",University of Texas at Austin,/players/a/aldrila01.html,True,False,919,102.8,11.104708333333335,0,0,6,15,0,0.271
Chuck Aleksinas,1985,1985,C,83,260,"February 26, 1959","University of Kentucky, University of Connecticut",/players/a/aleksch01.html,False,False,74,0.4,0.44095833333333334,0,0,0,0,0,0.0
Cliff Alexander,2016,2016,F,80,245,"November 16, 1995",University of Kansas,/players/a/alexacl01.html,True,False,8,0.0,0.039,0,0,0,0,0,0.0
Cory Alexander,1996,2005,G,73,185,"June 22, 1973",University of Virginia,/players/a/alexaco01.html,False,False,307,3.0,2.190375,0,0,0,0,0,0.0
Courtney Alexander,2001,2003,G,77,205,"April 27, 1977","University of Virginia, California State University, Fresno",/players/a/alexaco02.html,False,False,187,4.1,2.2083333333333335,0,0,0,0,0,0.0
Gary Alexander,1994,1994,F,79,240,"November 1, 1969",University of South Florida,/players/a/alexaga01.html,False,False,11,0.0,-0.03666666666666667,0,0,0,0,0,0.0
Joe Alexander,2009,2010,F,80,230,"December 26, 1986",West Virginia University,/players/a/alexajo01.html,False,False,67,0.5,0.4475,0,0,0,0,0,0.0
Victor Alexander,1992,2002,C-F,81,265,"August 31, 1969",Iowa State University,/players/a/alexavi01.html,False,False,286,8.8,3.0312291666666664,0,0,0,0,0,0.0
Steve Alford,1988,1991,G,74,183,"November 23, 1964",Indiana University,/players/a/alforst01.html,False,False,169,3.2,1.359,0,0,0,0,0,0.0
Rawle Alkins,2019,2019,G,77,225,"October 29, 1997",University of Arizona,/players/a/alkinra01.html,True,False,2,0.0,0.044833333333333336,0,0,0,0,0,0.0
Bill Allen,1968,1968,C-F,80,205,,New Mexico State University,/players/a/allenbi01.html,False,False,38,0.6,,1,0,0,0,0,0.0
Bob Allen,1969,1969,F,81,205,"July 17, 1946",Marshall University,/players/a/allenbo01.html,False,False,27,0.1,0.13533333333333333,0,0,0,0,0,0.0
Grayson Allen,2019,2019,G,77,198,"October 8, 1995",Duke University,/players/a/allengr01.html,True,False,22,-0.1,-0.09999999999999999,0,0,0,0,0,0.0
Jarrett Allen,2018,2019,F-C,83,237,"April 21, 1998",University of Texas at Austin,/players/a/allenja01.html,True,False,120,8.9,4.631354166666666,0,0,0,0,0,0.0
Jerome Allen,1996,1997,G,76,184,"January 28, 1973",University of Pennsylvania,/players/a/allenje01.html,False,False,117,0.2,0.5045833333333334,0,0,0,0,0,0.0
Kadeem Allen,2018,2018,G,75,192,"January 15, 1993",University of Arizona,/players/a/allenka01.html,True,False,18,-0.1,-0.08470833333333333,0,0,0,0,0,0.0
Lavoy Allen,2012,2017,F-C,81,260,"February 4, 1989",Temple University,/players/a/allenla01.html,True,False,388,13.8,3.664375,0,0,0,0,0,0.0
Lucius Allen,1970,1979,G,74,175,"September 26, 1947","University of California, Los Angeles",/players/a/allenlu01.html,False,False,702,42.0,8.159,0,1,0,0,0,0.001
Malik Allen,2002,2011,F-C,82,255,"June 27, 1978",Villanova University,/players/a/allenma01.html,False,False,478,6.6,1.08125,0,0,0,0,0,0.0
Randy Allen,1989,1990,F,80,220,"January 26, 1965",Florida State University,/players/a/allenra01.html,False,False,70,0.2,0.21758333333333335,0,0,0,0,0,0.0
Ray Allen,1997,2014,G,77,205,"July 20, 1975",University of Connecticut,/players/a/allenra02.html,False,True,1300,145.1,13.754562499999999,0,2,10,12,1,0.9990000000000001
Tony Allen,2005,2018,G-F,76,213,"January 11, 1982","Butler County Community College, Oklahoma State University",/players/a/allento01.html,True,False,820,38.7,5.0528125,0,1,0,6,0,0.0
Willie Allen,1972,1972,F,78,230,"February 8, 1949",University of Miami,/players/a/allenwi01.html,False,False,7,0.0,,1,0,0,0,0,0.0
Odis Allison,1972,1972,F,78,195,"October 2, 1949","University of Nevada, Las Vegas",/players/a/allisod01.html,False,False,36,-0.6,-0.6259583333333333,0,0,0,0,0,0.0
Lance Allred,2008,2008,C,83,250,"February 2, 1981","University of Utah, Weber State University",/players/a/allrela01.html,False,False,3,0.0,-0.026041666666666668,0,0,0,0,0,0.0
Darrell Allums,1981,1981,F,81,220,"September 12, 1958","University of California, Los Angeles",/players/a/allumda01.html,False,False,22,-0.3,-0.3105,0,0,0,0,0,0.0
Morris Almond,2008,2012,G,78,225,"February 2, 1985",Rice University,/players/a/almonmo01.html,False,False,38,0.0,0.053125000000000006,0,0,0,0,0,0.0
Derrick Alston,1995,1997,F,83,225,"August 20, 1972",Duquesne University,/players/a/alstode01.html,False,False,139,2.6,1.7485,0,0,0,0,0,0.0
Rafer Alston,2000,2010,G,74,171,"July 24, 1976","California State University, Fresno",/players/a/alstora01.html,False,False,671,32.9,6.586666666666666,0,0,0,6,0,0.0
Peter Aluma,1999,1999,C,82,260,"April 23, 1973",Liberty University,/players/a/alumape01.html,False,False,2,0.0,-0.021458333333333333,0,0,0,0,0,0.0
John Amaechi,1996,2003,C-F,82,270,"November 26, 1970","Vanderbilt University, Pennsylvania State University",/players/a/amaecjo01.html,False,False,294,0.5,2.3505833333333332,0,0,0,0,0,0.0
Ashraf Amaya,1996,1997,F,80,230,"November 23, 1971",Southern Illinois University,/players/a/amayaas01.html,False,False,85,1.9,1.7939999999999998,0,0,0,0,0,0.0
Al-Farouq Aminu,2011,2019,F,81,220,"September 21, 1990",Wake Forest University,/players/a/aminual01.html,True,False,640,25.6,4.187166666666667,0,0,0,0,0,0.0
Lou Amundson,2007,2016,F,81,220,"December 7, 1982","University of Nevada, Las Vegas",/players/a/amundlo01.html,False,False,428,6.9,2.871333333333333,0,0,0,0,0,0.0
Bob Anderegg,1960,1960,F-G,75,200,"August 24, 1937",Michigan State University,/players/a/anderbo01.html,False,False,33,0.0,0.015541666666666667,0,0,0,0,0,0.0
Chris Andersen,2002,2017,F-C,82,245,"July 7, 1978",Blinn College,/players/a/anderch01.html,False,False,695,39.7,5.962083333333333,0,1,0,13,0,0.0
