Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,url,is_active,in_hof
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,/players/a/abdelal01.html,False,False
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,/players/a/abdulza01.html,False,False
Kareem Abdul-Jabbar*,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",/players/a/abdulka01.html,False,True
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,/players/a/abdulma02.html,False,False
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","University of Michigan, San Jose State University",/players/a/abdulta01.html,False,False
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California,/players/a/abdursh01.html,False,False
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,/players/a/abernto01.html,False,False
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,/players/a/ablefo01.html,False,False
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University,/players/a/abramjo01.html,False,False
Alex Abrines,2017,2018,G-F,6-6,190,"August 1, 1993",,/players/a/abrinal01.html,True,False
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,/players/a/ackeral01.html,False,False
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,/players/a/ackerdo01.html,False,False
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,/players/a/acresma01.html,False,False
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,/players/a/actonbu01.html,False,False
Quincy Acy,2013,2018,F,6-7,240,"October 6, 1990",Baylor University,/players/a/acyqu01.html,True,False
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,/players/a/adamsal01.html,False,False
Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,/players/a/adamsdo01.html,False,False
George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,/players/a/adamsge01.html,False,False
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,/players/a/adamsha01.html,False,False
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles",/players/a/adamsjo01.html,True,False
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,/players/a/adamsmi01.html,False,False
Steven Adams,2014,2018,C,7-0,255,"July 20, 1993",University of Pittsburgh,/players/a/adamsst01.html,True,False
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,/players/a/addisra01.html,False,False
Bam Adebayo,2018,2018,C-F,6-10,243,"July 18, 1997",University of Kentucky,/players/a/adebaba01.html,True,False
Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,/players/a/adelmri01.html,False,False
Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut,/players/a/adrieje01.html,False,False
Arron Afflalo,2008,2018,G,6-5,210,"October 15, 1985","University of California, Los Angeles",/players/a/afflaar01.html,True,False
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,/players/a/agerma01.html,False,False
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,/players/a/aguirma01.html,False,False
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University,/players/a/ahearbl01.html,False,False
